catnum	length							
P05055	22.7							
P05055	22.4							
P05055	18.7							
P05055	23							
P05055	17.7							
P05055	24.5							
P05055	21.4							
P05055	26.8							
P05055	27							
P05055	16.2							
P05055	26.4							
P05055	22.9							
P05055	26.5							
P05055	23.3							
P05055	21.1							
P05055	18.9							
P05055	24							
P05055	26.3							
P05055	16.5							
P05055	19.9							
P05055	25.1							
P05055	21.8							
P05055	18.8							
P05055	22.4							
P05055	22.4							
P05055	17.5							
P05055	17.7							
P05055	26							
P05055	28.9							
P05055	21.5							
P05055	18.7							
P05055	27.7							
P05055	23.8							
P05055	23.3							
P05055	15.9							
P05055	16							
P05055	22.4							
P05055	26							
P05055	18.8							
P05055	13.2							
P05055	24.1							
P05055	21							
P05055	19.7							
P05055	24.2							
P05055	26.5							
P05055	17.3							
P05055	21							
P05055	22.9							
P05055	13.5							
P05055	16.8							
P05055	21							
P05055	17.7							
P05055	21.1							
P05055	23.7							
P05055	25.1							
P05055	18.9							
P05055	18.2							
P05055	18.9							
P05055	24.1							
P05055	23.1							
P05055	22.9							
P05055	12.7							
P05055	22.4							
P05055	12.6							
P05055	28.7							
P05055	15.9							
P05055	19							
P05055	26.2							
P05055	20.8							
P05055	16.7							
P05055	22.8							
P05055	20.1							
P05055	21.7							
P05055	20.3							
P05055	28.3							
P05055	19.8							
P05055	14.2							
P05055	25.4							
P05055	27.9							
P05055	21.8							
P05055	19.6							
P05055	26.4							
P05055	16.8							
P05055	15.2							
P05055	22.4							
P05055	17							
P05055	17.3							
P05055	18.5							
P05055	15.5							
P05055	18.7							
P05055	22.4							
P05055	24.6							
P05055	17.4							
P05055	24.7							
P05055	20.7							
P05055	28.4							
P05055	25.9							
P05055	21.4							
P05055	24.3							
P05055	20.5							
P05055	18.9							
P05055	23							
P05055	24.4							
P05055	18.2							
P05055	18.7							
P05055	17.4							
P05055	19.8							
P05078	22.2							
P05078	14.9							
P05078	20.1							
P05078	18.6							
P05078	16.4							
P05078	18.6							
P05078	18.2							
P05078	19.4							
P05078	14.8							
P05078	19.2							
P05078	19.4							
P05078	11.8							
P05078	13.4							
P05078	12							
P05078	14.8							
P05078	12.9							
P05078	16.9							
P05078	14.7							
P05078	10.8							
P05078	15.2							
P05078	19.8							
P05078	19.7							
P05078	15.6							
P05078	20.3							
P05078	19.7							
P05078	15.4							
P05078	18.6							
P05078	13.2							
P05078	20.5							
P05078	13.9							
P05078	21.1							
P05078	14.3							
P05078	18.4							
P05078	12.6							
P05078	16.3							
P05078	16.4							
P05078	13.4							
P05078	15.9							
P05078	11.1							
P05078	18							
P05078	17.9							
P05078	17.6							
P05078	13							
P05078	13.1							
P05078	19.8							
P05078	15							
P05078	12.1							
P05078	18.8							
P05078	18.6							
P05078	11.9							
P05078	12.2							
P05078	14.3							
P05078	12.3							
P05078	19.6							
P05078	18.4							
P05078	11.3							
P05078	20.9							
P05078	17.9							
P05078	13.6							
P05078	11.9							
P05078	15.2							
P05078	12.8							
P05078	15.5							
P05078	19.2							
P05078	15.8							
P05078	13.3							
P05078	16.9							
P05078	16.2							
P05078	11.4							
P05078	12.2							
P05078	19.7							
P05078	17.8							
P05078	11.3							
P05078	12.6							
P05078	16.7							
P05078	20							
P05078	15.2							
P05078	12.5							
P05078	12.3							
P05078	14.1							
P05078	18.8							
P05078	15.1							
P05078	18.2							
P05078	11.7							
P05078	14.6							
P05078	21.7							
P05078	17.3							
P05078	12.1							
P05078	20							
P05078	16.4							
P05078	14.4							
P05078	14.3							
P05078	15.3							
P05078	15							
P05078	16.3							
P05078	17							
P05078	19.8							
P05078	13.1							
P05078	13.3							
P05078	19.2							
P05078	17.7							
P05078	18.6							
P05078	19.3							
P05078	19.1							
P05078	16.1							
P05078	15.2							
P05078	21.9							
P05078	16.7							
P05078	17.6							
P05078	15.8							
P05078	19.9							
P05078	13							
P05078	16.1							
P05078	16.6							
P05078	20.9							
P05078	18.5							
P05078	17.6							
P05078	18							
P05078	13							
P05078	22.2							
P05078	19.8							
P05078	18							
P05078	16.9							
P05078	21.1							
P05078	14.5							
P05078	20.6							
P05078	15.8							
P05078	18.9							
P05078	15.1							
P05078	11.6							
P05078	20.4							
P05078	19.1							
P05078	16							
P05078	16.5							
P05078	15.2							
P05078	13.8							
P05078	15							
P05078	18.1							
P05078	17.4							
P05078	19.9							
P05078	18							
P05078	18.2							
P05078	18.5							
P05078	13.3							
P05078	19.4							
P05078	20.3							
P05078	13.4							
P05078	13							
P05078	15.1							
P05078	19							
P05078	17.6							
P05078	15.8							
P05078	17.8							
P05078	17.7							
P05078	13.1							
P05078	13.4							
P05078	16.6							
P05078	19.5							
P05078	16							
